,Reviews,Game Title
1308,"The best Broken Sword game since the original. [Issue#148, p.113]",Broken Sword 5: The Serpents' Curse - Part II
1309," is a fun game, but the difficulty seems to skew a bit on the easy side with the ability to pause mid-level and undo any action. Still, unlocking new obstacles every few stages keeps things fresh, and going for perfect levels will force you to stop and think about how to do things--as opposed to just laying a few blocks and calling it a day.",MouseCraft
1310,"If you’re looking for something with a Mega Man feel that’ll quench your retro thirst,  is short, sweet, and gets directly to the point.",Mighty Gunvolt
1311,"Beautiful and ruthlessly addictive. Be prepared to lose your time. And the feeling in your fingers. [June 2014, p.68]",Cloudbuilt
1312,"Lego The Hobbit is, if not the best Lego game, then closely matched with the top entries in the series. It expands the series repertoire with new mechanics and better quest navigation.",LEGO The Hobbit
1313," bought me with its brilliant atmosphere of hopelessness that even Orwell’s Nineteen Eighty-Four would not be ashamed of. [10/2017, p.57]",Black The Fall
1314,"I was not expecting to love Unity, but I do. Ubisoft nailed the big assassination missions and everything in between.",Assassin's Creed Unity
1315,"Outside of a few ergonomic missteps, especially with the controller integration, it delivers an intense and immersive experience that rivals a lot of AAA FPS titles.",Heavy Bullets
1316, manages to successfully fill the gap between today and classic video games of the past as The Maze of Galious.,Unepic
1317,"It manages to take a step forward from the previous episode, and becomes one of the most faithful adaptations of the Warhammer universe.",Space Hulk Ascension
1318,"I found myself surprised by the charm The Last Tinker oozes at every step, be it the breathtakingly colorful visuals or the varied and exciting soundtrack.",The Last Tinker: City of Colors
1319,"For all the 3DS owners out there who, like me, are sick of seeing the deluge of kiddie-focused games appearing in the Nintendo eShop,  is a very welcome respite. Outside of the Sega 3D Classics, range this is the best thing to appear on the 3DS in recent memory and is a must-have purchase for any 3DS owner.",Steel Empire
1320,Instant gratification combined with those stellar mechanics mean you’ve got a hardcore platformer with the hooks to keep you coming back for more.,10 Second Ninja
1321,"Taking the good and weighing it against the few negatives or things I would've changed or added,  carves a name for itself amongst the ranks of long standing racing series with one quick motion.",The Crew
1322," has definitely come a long way since it entered Early Access on Steam. At the time it was definitely fun to play, but the novelty would wear off somewhat due to the lack of maps and game modes. But with the new additions of new maps and game modes, some cool new weapons and the introduction of the Training mode so that offline play is available,  has some added replayability.",Screencheat
1323,On PC Killer is Dead reaches its best. It's a funny game with a good combat system and an original artistic aspect.,Killer Is Dead: Nightmare Edition
1324,"It's a solid RPG meant to relieve the classic experiences of the genre. Consequently, there's nothing 'new' here but a tribute to the genre.",Lords of Xulima
1325,"It will take weeks, maybe months, for you to earn every sticker and find all the collectibles.",Disney Magical World
1326,"Despite a few rough edges,  deserves a place alongside Metal Gear Solid 3, Hitman: Blood Money, and Mark of the Ninja as one of the best titles the genre has to offer.",Styx: Master of Shadows
1327,"A fine puzzle adventure game, with an intriguing, deep storyline, great pacing and a multitude of interesting and challenging puzzles.",J.U.L.I.A.: Among the Stars
1328,"Endlessly charming and unusually engaging,  is a fantastic diversion.",Tomodachi Life
1329,"Toukiden is the most beautiful and playable ""Monster Hunter clone"" to date.",Toukiden: The Age of Demons
1330,"From the second that I stepped into the game's world and into the first village that would become a base of operation for a few subsequent hours, I was hooked as wave after wave of nostalgia hit me.",Might & Magic X: Legacy
1331,"A few bugs and balance issues aside, it genuinely feels like its single-player predecessors rather than a cookie cutter MMO, and that in itself is enough to draw back in the weary crowd yearning for something fresh from the genre.",The Elder Scrolls Online
1332,Blends the complexity of realistic simulation with inviting mechanics and gives just enough leeway to evoke heart-pumping power and intensity in every kind of racing fan.,Driveclub
1333," is a great old school wargame. It can be intimidating for newcomers, but it's worth a try just for its quality.",To End All Wars
1334, was one of the few LEGO games that instantly made me want to play more upon finishing the story mode.,The LEGO Movie Videogame
1335," is clearly the best game in the series. Rebellion managed to correct some of the previous games' glaring mistakes and improve on its already compelling game mechanics. The only thing keeping it from achieving a higher score is a lack of focus in the story department and a couple of relatively minor flaws. Otherwise, highly recommended to both fans of the series and newcomers alike.",Sniper Elite III
1336," is not much to look at, but as a zombie-themed post-apocalyptic role-playing game it’s definitely a winner. Interestingly enough, the zombies turn out to be the least of the survivors’ problems. [Jan 2015]",Dead State
1337,"Whether or not you're willing to pay for some extra features,  features a highly enjoyable online multiplayer mode; that's something, perhaps, that the 3DS has missed so far. Since it's free, you have no excuse not to check it out — perhaps you'll even like it so much that you'll spend some money.",Steel Diver: Sub Wars
1338," is an enjoyable and enormously addictive title that strikes a good balance between endearing JRPG-style narrative and compelling dungeon-crawling exploration, let down only slightly by somewhat repetitive combat.",Demon Gaze
1339,Dead Rising 3 Apocalypse Edition is a must-have for any sandbox rampage lover.,Dead Rising 3: Apocalypse Edition
1340," delivers as a course creator, and it's no slouch swinging the clubs, either. What's missing is the personality: the larger career structure and personal investment in your avatar to spur players on and elevate the experience from a nice set of features to the complete package.",The Golf Club
1341,"Whilst this 3DS release is nothing more than a port of a DS game from Japan, its charm and addictive gameplay cannot be argued against, with the intriguing storyline and smart Touch Screen tactical football battles making this RPG-with-a-twist one to definitely check out.",Inazuma Eleven 3: Team Ogre Attacks!
1342,"It's the kind of experience that, like Gone Home, people will dismiss for lacking action or having a narrative that doesn't treat its players like idiots, but it's also the kind of game that shows that the games industry is growing up and pushing the limits of what can be achieved given the freedom and resources to be properly creative.",Tengami
1343,"An excellent stealth game, true to the spirit of the original and at the same time much more modern. Very polished gameplay and a clever difficulty level make  a game no stealth fan should miss. The plot and the setting aren't always inspired, but the quality of the content greatly makes up for it.",Thief
1344,An interesting game from all points of view. It amuses even those people who are normally not interested in games at all.[Issue#249],Lumino City
1345,"The best representation of the action that happens inside the Octagon yet. While it’s not simple, the control scheme is still easy enough to learn that it takes the experience to an entirely new level as you break your opponents down standing up, in the clinch, or on the mat. With outstanding next-gen visuals,  is good enough to carry around a championship belt.",EA Sports UFC
1346," is a good final hurrah for the tower defense series from 11 Bit Studios. It has gorgeous maps, fun and hectic gameplay, and a lot of strategic opportunities via the deployable powers and the complex tech tree. What's more, the difficulty modes that affect the layout of the maps are quite impressive.",Anomaly Defenders
1347,"I extremely enjoyed this game, and it is definitely the best in the franchise that I have played. The story mode is brilliant, and the new features and weapons improve the game play considerably. With online and offline multiplayer available too, there is plenty of opportunity to play for hours. I was a little disappointed with the bugs that I encountered, but in the end it did not take away from the fun of the game.",Worms Battlegrounds
1348,"Everything feels like a step forward, even though there are some aspects (like random tutorials or some situations in which we felt completely out of control) that we would like to see more polished. Still, a great choice for The Sims fans.",The Sims 4
1349,A solid new addition to the Call of Duty experience and some of the best maps I've played in a long time.,Call of Duty: Ghosts - Devastation
1350,"Despite its tedious shortcomings, Pokémon Battle Trozei is still a fantastic game that’s worth playing. This fast-paced combo frenzy is extremely addicting to pick up and play, making it an excellent addition to the existing Pokémon spin-offs.",Pokemon Battle Trozei
1351,"Not the deepest strategy game around, but fast-paced, engaging and ultimately very fun to play.",Halfway
1352,A slick combat system and beautiful visuals help blend with an unobtrusive yet uplifting musical score to make this a wonderful little title.,Abyss Odyssey
1353,"This might not be something that I go back to often, but it’s left me satisfied in a way that not many games do.",Murasaki Baby
1354,"RE;Birth 1 is a damned fine JRPG. It's silly, it's charming and it's irreverent, but it's also a package that's been wrapped up in a clever, rich combat system. This was the start that the Hyperdimension Neptunia franchise deserved.",Hyperdimension Neptunia Re;Birth1
1355,"Even when the overall challenge of living a day in Octodad’s shoes bears too much weight, the game is amusing enough to quell most of the frustration.",Octodad: Dadliest Catch
1356," definitely struggles a bit with its steep learning curve and some serious bugs that need to be addressed, but the quick, energetic games are largely worth the struggles.",Magicka: Wizard Wars
1357,"The sheer weight of content that is packed into the game can't be understated; this is a big, chunky game that demands a lot of time to work all the way through it, but every step of the way is a truly entertaining one.",Dynasty Warriors 8: Xtreme Legends Complete Edition
1358,"I was once fascinated with Micro Machines, but  is a great game in its own right, not just as a stroll down the memory lane. [01/2015, p.71]",Toybox Turbos
1359," is an entertaining online shooter that perfectly employs a texture-less and block-filled visual style. With a wide assortment of maps and various items to craft,  is recommended to multiplayer shooter fans who've been looking for their next online addiction.",Minimum
1360,"After the first 5 hours I was delighted with Lichdom, shocked by its awesomeness even. Then repetitiveness reared its ugly head and my enthusiasm started fading, especially when around the 12 hour mark (when the game should have ended for its own sake) I realized that the story is far from over. Anyhow, Lichdom has a spark that makes you want to come back to it and the spell crafting system is truly amazing. It’s just better to enjoy it in small doses. [Nov 2014, p.68]",Lichdom: Battlemage
1361," brings the terrific NES Remix series to the 3DS, making the leap from console to mobile with consummate ease.  feels right at home on 3DS, with the variety and challenge breathing new life into some of Nintendo’s most iconic titles. I don’t think it matters who you are: if you like video games, you will love .",Ultimate NES Remix
1362,"The Alliance is the franchise's next natural step on PlayStation Vita, a children's title that will be enjoyed by all members of the family. The new augmented reality feature will make you believe the InviZimals are real, producing an incredible immersion effect. Varied, visually correct and with more than 100 of these animals for capturing. It's a lot of fun.",Invizimals: The Alliance
1363, is a fun and near flawless heist adventure.,The Marvellous Miss Take
1364,"It still is a great game, and even though it's hard and challenging, it does feel as a rewarding experience. If you like the genre and you are patient enough, go for it.",Shadowgate
1365," is a beautiful, imaginative, and ingenious puzzle game with an original idea at its heart and some seriously sharp brainteasers.",Metrico
1366,The definitive version of the famous Android and iOS-game. A joy to play and definitely one of the best games on Wii U e-Shop. Save the ocean!,Squids Odyssey
1367," is an interesting hybrid, although the variety of experiences might mean that a lot of players will have to fail a lot before they discover exactly how to approach the problem of soup production and shipping.",Nom Nom Galaxy
1368,"The gameplay and spellcrafting mechanics are easy to understand, and between of the sheer number of spells, races, and classes you can combine, you aren't going to run out of stuff to discover any time soon.",Runers
1369,"The theatre of destruction around your ship will leave you in awe. [June 2014, p.90]",Strike Suit Zero: Director's Cut
1370,Few games can come close to creating the same mayhem and excitement as Gauntlet can.,Gauntlet (2014)
1371, is just about the best multiplayer experience the World War II games have to offer. [June 2014],Men of War: Assault Squad 2
1372,"Is it disappointing that units in Warhammer 40,000 are so simple in presentation? Sure, especially when you consider how monotone many of the ""apocalyptic"" environments are. But given the choice between a game like this an a major studio producing a Warhammer game that fails to even understand where the real appeal of Warhammer lies, I'll take a game like  any time.","Warhammer 40,000: Armageddon"
1373,"While I do believe some players may dismiss the game as a “walking simulator” (as they are wont to do nowadays),  falls into the must-play section of the horror genre. Whether or not you find it scary, you’ll definitely be disturbed and intrigued as you seek resolution to the madness.",Neverending Nightmares
1374,"Spacecom is a super-fun strategy game, and a truly unpretentious take on the RTS genre.",SPACECOM
1375," interprets a rich history in its chapters and paints an image of the best and worst of the 1920s, and while its overly-easy puzzles didn't really add to the story, I felt a stronger appreciation for that era after playing through it.",A Golden Wake
1376,"If you haven't experienced the multimedia revolution back in the 90s, there's no point to start now. Tesla Effect is a design drug for us who marveled the magnificent pre-rendered graphics of Rebel Assault and cursed Phantasmagoria to hell. Retrofitted with high-definition videos and polygon graphics, Tesla Effect is a modern relic in the most positive way possible. [June 2014]",Tesla Effect: A Tex Murphy Adventure
1377,"It’s an enormously fun and creative take on two genres you would never think to see in bed together. The gameplay is tight and responsive, the boards are intricate and clever, and the splendid voice acting is an added delight.",Rollers of the Realm
1378, for PlayStation Vita was a version screamed for. Neither the PlayStation 3 nor the PlayStation 4 version can give the same satisfaction found here.,Dead Nation
1379,"An entertaining digital boardgame in the Witcher world. The computer is a too easy opponent, though. [June 2015]",The Witcher Adventure Game
1380," may not push the PS4 to its limits (I doubt the eventual Vita version will even do that either), but it's still a lot more enjoyable than any number of other more complex games — and quite frankly, I'll take enjoyable over complex any day of the week.",Tennis in the Face
1381,Collect feathers to return to Asgard in this laid-back puzzle-platformer.,Munin
1382,I thoroughly enjoyed my time with Ancient space and I will beat that final level. Even if it takes me another twenty hours of complete and utter failure.  has beaten me down ruthlessly but I still want to come back for more.,Ancient Space
1383,"While it doesn't offer the zany game types or interesting visuals of Tetris DS, this is a better offering than Tetris Axis by far.",Tetris Ultimate
1384," transcends its license to become a truly engrossing portable role-playing game. Unfortunately, this lengthy adventure is far from perfect, with problems ranging from bad translation to simplistic missions. But none of that gets in the way of one of the most ambitious anime games ever constructed.",Sword Art Online: Hollow Fragment
1385,Managing your deck is nearly as exciting as the battles in its own way. Nabbing new booster packs and busting them open with the touch screen is a simple joy that offers a little joyful suspense every time you acquire new cards.,Monster Monpiece
1386,"With a great combat system, tons of customization options, some great characters and a few hundred missions to go through, Shinovi Versus is a must have for anyone who enjoys great combat - as long as they're not overly sensitive to fanservice or sex jokes.",Senran Kagura Shinovi Versus
1387,"As lovable as ever,  is right at home on Sony's portable. It feels as though this is where the game belonged all along. Everything has carried over: the old school, beat-'em-up charm along with a heavy dose of gameplay variation and customization, but the added portability makes it even better than before.",Phantom Breaker: Battle Grounds
1388,Extremely addictive despite some weaknesses. A captivating world of model railroads.,Train Fever
1389,"Is it repetitive? Sure, if you don't get a perverse thrill out of launching people through the air and into the path of an oncoming boulder. But if you do — and boy, do I ever — then Deception IV should be right up your alley.",Deception IV: Blood Ties
1390,"It’s not survival horror with trucks. It’s survival horror for trucks. You as a driver, as a person, as a foot on a gas pedal and a pair of hands, don’t exist. Whether it’s because Oovee didn’t want to fuss with character models or because it’s an intentional effort to focus on the element of machines vs nature without mere humanity in the middle to muck it all up, the world of Spintires is like Maximum Overdrive, that dopey horror movie where trucks come alive and drive themselves around. Not for the cheese factor, of course.",SpinTires
1391,"After everything was said and done, I wanted a bit more variety -- not just in the form of more songs -- but in some new modes or even online multiplayer. The good news is the core formula is very solid, so if you're looking for a new puzzle battle game, this is it.",Magical Beat
1392,"The changes and additions to Pro Cycling Manager 2014 are really quite impressive. The extreme level of detail has finally been matched with top quality graphics, improved controls, and a tutorial system that gets you up and going, and most importantly, competitive in races, far more quickly.",Pro Cycling Manager Season 2014: Le Tour de France
1393,"Save the Moon in Counterspy, a title created by a team of incredibly talented developers and creators from many different mediums. Experience Bond-esque style in a brand new way.",CounterSpy
1394," is a ""shrunken"" version of the full game, perfect for the handheld market.",Football Manager Classic 2014
1395,"With the old style platform gameplay, 2D pixellated graphics and some cool retro 8-bit style music (thrown in with some other cool looping tunes),  feels like it should have been released decades ago. But the game is definitely a huge amount of fun to play.",Platformines
1396,"This is an adventure whose key element is the mystery. A very interesting story and a very personal aesthetic will keep us engaged, even though its control system should be improved.",Silence of the Sleep
1397,"Age of Mythology still has a lot of value beyond nostalgia, then, but I’d wait for a discount before committing your cash, especially if you already bought it a decade ago. This isn’t a total remake, so don’t go in expecting one. The Extended Edition is still a really well-paced and entertaining RTS, one that revels in over-the-top imagery and remains a one-off in subject matter within the oeuvre of the sadly departed Ensemble.",Age of Mythology: Extended Edition
1398,"Here we have a stylish and original horror adventure, which manages to scare. The ending is quite thought-provoking. The game is quite short, but the time spent on it is definitely quality time.[Aug 2014]",Among the Sleep
1399, is a brilliant mach-3 puzzle although if it's all but new. 10tons basically cloned PopCap's Zuma but they did it with style and it feels fresh and familiar at the same time. Touch pad controls on PlayStation 4 feel a bit off: the game is much better on the handheld.,Sparkle 2
1400," is one of the most exciting and addictive easy-to-learn/hard-to-master games that you can play, especially if you intend to play it with friends.",BlazeRush
1401,"Series fans will love getting to experience classic copy abilities to the fullest in a new setting, and fighting types will appreciate the variety and depth of the fast-paced Kirby combat — if you find yourself in either camp, Fighters Deluxe deserves a privileged place on your 3DS menu.",Kirby Fighters Deluxe
1402,"AiRace: Xeno seems like it should be DLC for prior AiRace games, but at the same time it's priced as such, so I really can't complain about that.",AiRace Xeno
1403,"That said, better the developers create a bunch of really enjoyable levels with zero replayability than shoehorning in a three-star system at the expense of fun, right? Obviously, the ideal would be both, but if you're going to make it an either/or thing, then I suppose 10tons picked the right option to go with.",King Oddball
1404,A welcome addition to the Dragon Ball Z franchise that's sure to have you screaming in anger and excitement.,Dragon Ball Z: Battle of Z
1405,"The gameplay is very simple, but I got hooked on it, mainly because of a great soundtrack. [03/2014, p.69]",KickBeat: Steam Edition
1406,A strong first outing on the PS4 that's pretty great as is and worth considering for anyone at all interested in motocross. Next year's version should be quite interesting.,MXGP: The Official Motocross Videogame
1407,This dialogue based RPG has fallen into the trap of its own ambition. One can only hope that the potential next installment might be able to avoid it. [Issue #239],CONSORTIUM
1408,Perhaps this is greatest compliment I can pay Liberation. This game restored my faith. Ubisoft can still produce a good Assassin's Creed game.,Assassin's Creed Liberation HD
1409, is a fantastic and short pixel art visual novel that you need to experience.,A Bird Story
1410,"The repetition of said features, plus the lack of the Wii U's strengths being put to use is unfortunate, but dedicated One Piece fans and patient newcomers will find a lot to love.",One Piece: Unlimited World Red
1411," is a nice and extremely addictive puzzle game. It's not extremely innovative, but it's got a lot of personality and lots of fun.",Flockers
1412,"The great news about  is that, as Free-to-Play games go, it's pretty awesome.",Destiny of Spirits
1413, is not a horror game. Yet the hairs on the back of my neck were at attention for most of the 10 hours I spent in its world.,NaissanceE
1414,"All in all,  is a fairly solid game, but there are some issues here and there.The graphics and animation are so-so, the difficulty curve can be steep and times, and the bosses can be pretty tedious. Overall though, if you’re into classic gaming genres I’d at least give the demo a shot before picking up the full game.",Concursion
1415,"It's certainly casual compared to the Football Manager games, but thanks to its adorable presentation and its ability to make you truly care about the fortunes of your little soccer players and team, this is the equivalent of a pulp fiction page turner; it's not necessarily fulfilling, but it's truly entertaining and impossible to put down.",Nintendo Pocket Football Club
1416,"Stronghold Crusader 2 was a rare game that I got lost in. I started playing and before I knew it, it was six hours later.Who can resist a game about castle building, economy raising, and taking on large castles full of troops and hazards?. Especially when you can soften up the numbers by launching diseased animals over castle walls.",Stronghold: Crusader II
1417,"Elegy For A Dead World delivers, but only if you meet it halfway with a hunger for derelict worlds and an extensive collection of original tales.",Elegy for a Dead World
1418,Onslaught is by no means the definitive must own CoD DLC but it’s solid and gives Ghosts some more legs.So really what more could you ask for?,Call of Duty: Ghosts - Onslaught
1419,"Mystery of the Mooil Rig may end too quickly, but you'll enjoy the ride.",Sunset Overdrive and the Mystery of the Mooil Rig!
1420,"This is a unique, and quite frankly ground-breaking conversational adventure and RPG hybrid project set into the ancient India. It is not perfect in everything it strived for, however,  has clearly succeeded in the things it wanted to tell about.",Unrest
1421,"For every reason I play RPGs (big decisions, interesting characters, fun gameplay, immersive exploration), Risen 3 hits every sweet spot.",Risen 3: Titan Lords
1422,"Players who enjoyed Drum Dash’s Triple Deluxe debut will absolutely love it, and anyone looking for a fresh take on musical platforming will have a blast. Dededelightful.",Dedede's Drum Dash Deluxe
1423, rewards the procrastinating zombie enthusiast who’s been curious about the game and its add-on content.,How to Survive: Storm Warning Edition
1424,"Playing as a diver or a shark is a fast, fun, and frantic experience, and each has its own feel and set of skills.",Depth
1425," is a fun, cute and a lot easier platformer than other recent Nintendo games. It's a perfect match for a platformer novice, but gives thrills to a veteran too, especially when used as a sedative between much harder games.[Apr 2014]",Yoshi's New Island
1426,Deciding whether to keep the space bar pressed or release it has never been so much fun.,The Impossible Game
1427, earns a strong recommendation for both series fans and farming enthusiasts.,Farming Simulator 15
1428,"Although the foundation for a great online twin-stick shooter has been laid with , it's going to need more content and a meatier core mode to really keep people interested -- until then, I think the game will struggle with keeping some of its community.",Secret Ponchos
1429,This is a classic. And like its PC brother it still is a challenging straight forward top-down two-stick shooter that I can’t get enough of.,Crimsonland
1430,"All things considered, though, I can deal with a slightly wonky camera, pointless jumping and occasionally long load screens if they're the trade-off for an otherwise good game. And by any measure, Akiba's Trip: Undead and Undressed is a very good game.",Akiba's Trip: Undead & Undressed
1431,"The gameplay  delivers serves its purpose, but it’s clear the developer’s aspirations were to immerse the player and draw them in. On that point, this freshman effort is a success.",Whispering Willows
1432," is a product worthy of being purchased by all fans of puzzle games. It's original, it's cool, it's innovative in its own way, despite some ideas have been partially taken from other products of the same genre.",Chronology
1433," feels right at home on Vita. The new Collector mode gives veterans something to sink their teeth into, but newcomers may be put off by the game's difficulty.",Jet Car Stunts
1434," is a nifty puzzle game, which looks at various concepts and mixes them to a perfect shape.",Tappingo
1435,", judging it as a low-budget game, is quite satisfactory for both fans of beat' em up and TV series, but I cannot recommend it for the younger audience due to the highly demanding combat system.",The Legend of Korra
1436,"This is a unique game, presented as a traditional point-'n'-click adventure title but more focused on strategy and planning instead of puzzle solving. If you push on and don't give up, you'll be rewarded -- just expect a few heartbreaking moments first.",Gods Will Be Watching
1437,"Still, these are fairly minor quibbles.  is a competent real-time strategy tower defense game. It’s not terribly exciting, but it is probably the best in the genre on Nintendo platforms.",Cubemen 2
1438,My favorite part of all of it was the way that Bungie forces you to employ new tactics and new styles of play. They force you to break out of your comfort zone to try and new load-out or a new way to play through a level you have been through a hundred times before.,Destiny: The Dark Below
1439,"Without hotkeys and precision clicks the formula isn't perfect, but  is about as good as a handheld entry of the series could ever be.",Lemmings Touch
1440," is exceptionally good fun, alone or with friends.",Table Top Racing
1441,"Brutal, irreverent, funny and banking on some rock solid Castle Crashers/Binding of Isaac mechanics that will simply have you playing ""one more level"" long into the night.",Fist of Jesus
1442,"Sir, You are Being Hunted gets repetitive fast. I like the graphics and ambiance, but searching needles from hostile haystack is not my cup of tea. [June 2014]","Sir, You Are Being Hunted"
1443,If you’ve got kids that grown bored of Nintendogs or simply want a virtual experience of owning a puppy then playstation Vita Pets is an awesome experience and I can’t wait to see the next steps it’ll take.,PlayStation Vita Pets
1444,"Excluding the fighting, the absence of a map and a quest log and the double-edged sword of freedom of exploration,  has everything it takes to make an adventurer happy.",Quest for Infamy
1445,"If you’re looking for something new, this is the perfect time to pick up your hammer, start a fire, and get crafting.",Weapon Shop de Omasse
1446,"It's more than stupid, it's so moronic it becomes something almost sublime. [Issue#249, p.66]",Goat Simulator
1447,A nice space sim dedicated to fans of Buzz Aldrin.,Buzz Aldrin's Space Program Manager
1448,It’s charming. It’s funny. It’s easy on the eyes. But sometimes it is not as precise as you wish it would be.,Wooden Sen'SeY
1449," is a game that definitely deserves to see and experience. It is not the game of the year or the best indie RPG we've ever played, but it's a well-built effort that will excite fans of 2D action games, sprinkled with reasonable quantities of RPG mechanisms and a satisfactory story to support it.",Dex
1450,"While the game's story can sometimes become too obscure for its own good, the majority of the narrative experience shouldn't be missed by adventurous gamers.",The Old City: Leviathan
1451,"As a game, it’s unpolished, but as a rumination on mortality, it’s an interactive poem.",continue?9876543210
1452,"That may make Conception II one of the weirder (and arguably creepier) games to come out in quite some time, but anyone looking for an RPG with a unique personality need look no further.",Conception II: Children of the Seven Stars
1453," makes its debut in the next gen with a notable game. Controls have been fully redesigned in order to offer the best gameplay mechanics, and its visuals are mainly what you would expect.",WWE 2K15
1454,"Beyond the graphical environments and gameplay,  is a compelling title, offering plenty of options, as well as tutorials for beginner players. However, its asynchronous online mode harms the experience of playing with an opponent at a distance, which hampers the game’s appeal to those interested in online chess matches.",Pure Chess
1455,"The very definition of cheap and cheerful,  matches simplicity with speed to make a shooter you don't mind either losing or switching off after one round. [Sept 2014, p.89]",Sixty Second Shooter Prime
1456,"Might not offer something particularly new and exciting to the genre, but fans of Shadowrun universe will find enough here to enjoy. It’s a good tactical turn-based game, especially if you play together with other players.",Shadowrun Chronicles: Boston Lockdown
1457,"Coupled with the bright and charming visuals and you've got a game that, as I said at the start, was very unfairly maligned.",F1 Race Stars: Powered Up Edition
1458," is an intriguing take on shoot ‘em ups, but the limited content and out of reach powers keep it from reaching its potential.",A City Sleeps
1459,"Although similar in content and technical level compared to the previous chapter,  is a very different title in terms of gameplay, thanks to the new cars with turbo-electric engine. Solid and rich, it is a good product in waiting of the first Next-Gen Formula One.",F1 2014
1460,"While Bon Appetit! may not be up there with the likes of Project Diva and DJ Max, it carves its own little niche into my playlist with a unique blend of fanservice, originality, customization and rhythm.",Senran Kagura: Bon Appetit!
1461,"Rivals is responsive, accurate, deep, reliable and well integrated. It just needs the space. [June 2014, p.76]",Kinect Sports Rivals
1462,"Magic 2015 – Duels of the Planeswalkers is possibly the best of the series, and an excellent option for gamers that might be interested in learning how to play Magic: The Gathering.",Magic: Duels of the Planeswalkers 2015
1463," is still an interesting metroidvania action platformer, though we expected a little more from the HD treatment.",Batman: Arkham Origins Blackgate - Deluxe Edition
1464,"Visuals and sound are touched up enough that it does not feel like shovelware, but it also doesn't try to be more than a typical mini-game collection.",Cooking Mama 5: Bon Appetit!
1465,"At last  came out from its everlasting beta period, as a solid MMO/TPS meant to be played with a small group of friend. It's not a revolution, but has its interesting peculiarities.",Firefall
1466,"Unfortunately, it really is just more of the same but with an impressive visual bump.",NHL 15
1467,"The gameplay remains the same, but the graphics have been upgraded to 1080p at 60 frames-per-second. But with the painful omission of custom soundtracks, there is little incentive to re-visit the game once you’ve completed it, and even less after you collect all the stars in the campaign (which will be quite a challenge nonetheless).",KickBeat: Special Edition
1468,"It's the most hardcore tactics strategy game you'll ever play. It's brutally and unapologetically unforgiving, and yes, it lacks the presentation values and atmosphere that would help people get over the learning curve. But for the patient few who will be willing to give this game the time it demands,  is going to be an experience with nearly limitless depth and it is, in fact, one of the best multiplayer strategy experiences on any console at the moment.",Natural Doctrine
1469,"For a game without any kind of established lineage, this is a very welcome addition to the Vita’s growing JRPG library.",Mind Zero
1470,"While the game isn’t perfect, it is clearly ready to take on all comers and creates a firm foundation for EA to build upon for years to come.",NBA Live 15
1471,If the game is good or not depends on your perspective and on what you were expecting from it. I was expecting an interactive storytelling game with some few simple puzzles and this is exactly what I got.,Lifeless Planet
1472,"There is a comet appearing in the sky of platformers. It is called Schrödinger's Cat, delivering novel innovations to the genre. In such a game you do not solve the puzzles — you create them yourselves! A pity you will not finish this smash hit for it is too distracting.",Schrodinger's Cat and the Raiders of the Lost Quark
1473,"This HD version of  features some new missions, remastered graphics and the same hardcore gameplay of the original game.",Abyss
1474,An interesting take on the Metroidvania formula enriched with creative time manipulation.,AeternoBlade
1475,"If you’re a fan of mysteries,  would be a worthy purchase.",Murdered: Soul Suspect
1476,"In that way,  feels like Journey and that’s high praise for upstart developer Pixelopus.",Entwined
1477," delivers a tough, compelling sci-fi zombie FPS experience. The game's pretty short, but the price is right.",Dead Effect
1478,A merciless and thoughtfully-designed online strategy game whose clever systems enable a unique and troubling experience.,The Castle Doctrine
1479,An innovative approach the adds a degree of non-linearity to the game play combined with a compelling story line and great visuals make Daedalic's Alcatraz 1954 a game that is hard to walk away from.,1954: Alcatraz
1480,A weird and fascinating avian journey that falls short.,Secrets of Raetikon
1481,It is this element of exploration and free moving that I sorely missed in the first part.,Castlevania: Lords of Shadow 2
1482," is an entertaining and challenging game, but it has its flaws. Graphically the game is good, but there could have more detail.",Toy Stunt Bike
1483,"Online play would have been nice but, still, a worthy effort.",Cel Damage HD
1484,"Yes, the game isn’t perfect but it’s a lot of fun.",Sacred 3
1485,"A great homage to classic graphical adventures and geek culture, with an excellent dubbing and attention to detail. It does have some illogical puzzles.",Randal's Monday
1486,"The core of  – what it IS – hasn’t changed. It’s a game that requires your tender, loving care. It’s a seed; a seed with the potential to bloom into something beautiful and magnificent if you’re willing to get the right tools and put in all that work.",Nether
1487,I feel a little caught in the middle with . It’s a very stylish looking game with a unique surrealist bent but the puzzle mechanics don’t feel developed enough to fully engage me yet.,Back to Bed
1488," is a decent sandbox-based action game, with plenty of missions, nice ideas and different situations to deal with, but it still lacks the polishing and the direction needed to be a great tie-in, like the Batman games.",The Amazing Spider-Man 2
1489,This is the kind of game you either instantly fall in love with or stare at in amazement.Surgeon Simulator A&E is a great port of the original title and brings more good new features than bad.,Surgeon Simulator: Anniversary Edition
1490,"By nature of its very premise,  is an addling game that ought not work. It succeeds far better than it should, however, and surprises in how fun it can be.",Infinity Runner
1491,"While we would've had the first female Dead Rising hero headline a full length game, Fallen Angel is a nice add on with excellent storytelling beats and a beefier adventure than Broken Eagle. [May 2014, p.77]",Dead Rising 3: Fallen Angel
1492,The controls are responsive and it takes no time to get the hang of what you’re doing – though mastering each course will take considerably longer.,Run Like Hell!
